feature,provider,prompt_style,context_level,rf_importance,shap_importance,auroc,n_samples,n_positive,n_negative
author_partisanship,anthropic,informative,author_post,0.014497915274295578,0.00177369584622311,0.7951047297297298,940,200,740
author_ideology,anthropic,informative,author_post,0.020973926293428837,0.004032325932305922,0.7951047297297298,940,200,740
author_race,anthropic,informative,author_post,0.029427981887983255,0.00680223031575724,0.7951047297297298,940,200,740
author_age,anthropic,informative,author_post,0.024459506297452565,0.004425073669965384,0.7951047297297298,940,200,740
author_education,anthropic,informative,author_post,0.017935478749728482,0.0038416506669592854,0.7951047297297298,940,200,740
author_income,anthropic,informative,author_post,0.02892656688198411,0.007566774724822383,0.7951047297297298,940,200,740
author_marital_status,anthropic,informative,author_post,0.023590110722828544,0.006312274790556627,0.7951047297297298,940,200,740
author_religiosity,anthropic,informative,author_post,0.019572347666575982,0.0036757398220059385,0.7951047297297298,940,200,740
sentiment_polarity,anthropic,informative,author_post,0.09274380092281127,0.016066694451301912,0.7951047297297298,940,200,740
sentiment_subjectivity,anthropic,informative,author_post,0.08112136028812816,0.013917031471848612,0.7951047297297298,940,200,740
polarization_score,anthropic,informative,author_post,0.07319509140679871,0.011288294508361692,0.7951047297297298,940,200,740
primary_topic,anthropic,informative,author_post,0.05310494361221104,0.008525824416921342,0.7951047297297298,940,200,740
toxicity,anthropic,informative,author_post,0.08022302516991132,0.011025371557268914,0.7951047297297298,940,200,740
user_followers_count,anthropic,informative,author_post,0.06831974500587776,0.015371565030641684,0.7951047297297298,940,200,740
user_friends_count,anthropic,informative,author_post,0.0733890200824865,0.01313599102360772,0.7951047297297298,940,200,740
user_statuses_count,anthropic,informative,author_post,0.05894452787713348,0.010077091355742406,0.7951047297297298,940,200,740
user_favourites_count,anthropic,informative,author_post,0.05705247385609211,0.01134315310299147,0.7951047297297298,940,200,740
favorite_count,anthropic,informative,author_post,0.0828321120310127,0.011036283774859356,0.7951047297297298,940,200,740
retweet_count,anthropic,informative,author_post,0.07452872432271944,0.011670615935096388,0.7951047297297298,940,200,740
retweeted,anthropic,informative,author_post,0.010719122102005606,0.002731697831152871,0.7951047297297298,940,200,740
author_gender,anthropic,informative,none,0.018287230579428392,0.0034446464203100892,0.7966015625,968,200,768
author_partisanship,anthropic,informative,none,0.014752340794341541,0.002208931628241163,0.7966015625,968,200,768
author_ideology,anthropic,informative,none,0.032218299841485436,0.011224354367790344,0.7966015625,968,200,768
author_race,anthropic,informative,none,0.023101106767716813,0.003904816686711976,0.7966015625,968,200,768
author_age,anthropic,informative,none,0.03074159631072954,0.004747828504691642,0.7966015625,968,200,768
author_education,anthropic,informative,none,0.013036799378398703,0.0026471374562843154,0.7966015625,968,200,768
author_income,anthropic,informative,none,0.027498582899911018,0.009204519612761279,0.7966015625,968,200,768
author_marital_status,anthropic,informative,none,0.016853120346007035,0.0058530053315747005,0.7966015625,968,200,768
author_religiosity,anthropic,informative,none,0.02313191935769386,0.0031117994423216482,0.7966015625,968,200,768
sentiment_polarity,anthropic,informative,none,0.07294544041552752,0.011969397999645017,0.7966015625,968,200,768
sentiment_subjectivity,anthropic,informative,none,0.07525280144593997,0.010986512651636538,0.7966015625,968,200,768
polarization_score,anthropic,informative,none,0.07776285180160468,0.012453493619809734,0.7966015625,968,200,768
primary_topic,anthropic,informative,none,0.06659793122693382,0.019692605035069914,0.7966015625,968,200,768
toxicity,anthropic,informative,none,0.07254587591396078,0.010472226579237158,0.7966015625,968,200,768
user_followers_count,anthropic,informative,none,0.06762760208918343,0.013528062658627346,0.7966015625,968,200,768
user_friends_count,anthropic,informative,none,0.056325119982339696,0.008033686354541424,0.7966015625,968,200,768
user_statuses_count,anthropic,informative,none,0.07464140192525882,0.01396509352569974,0.7966015625,968,200,768
user_favourites_count,anthropic,informative,none,0.0630534909280842,0.00967994234129945,0.7966015625,968,200,768
favorite_count,anthropic,informative,none,0.08032029216328353,0.011020945274961187,0.7966015625,968,200,768
retweet_count,anthropic,informative,none,0.07818543550980755,0.01069725475575891,0.7966015625,968,200,768
retweeted,anthropic,informative,none,0.01512076032236375,0.003501436416016808,0.7966015625,968,200,768
author_gender,anthropic,informative,post,0.017223733986572225,0.005590053979535352,0.8009300791556728,958,200,758
author_partisanship,anthropic,informative,post,0.019537719766746536,0.0037307866751460713,0.8009300791556728,958,200,758
author_ideology,anthropic,informative,post,0.03176532760011426,0.009397252241387835,0.8009300791556728,958,200,758
author_race,anthropic,informative,post,0.023808252943380875,0.003437623625887464,0.8009300791556728,958,200,758
author_age,anthropic,informative,post,0.0305624001475046,0.005526380477111213,0.8009300791556728,958,200,758
author_education,anthropic,informative,post,0.016462833256051457,0.0027778200097292125,0.8009300791556728,958,200,758
author_income,anthropic,informative,post,0.025768842114881143,0.004354613047980934,0.8009300791556728,958,200,758
author_marital_status,anthropic,informative,post,0.015084578697573972,0.002457295951089041,0.8009300791556728,958,200,758
author_religiosity,anthropic,informative,post,0.024923604827675146,0.006953345886368976,0.8009300791556728,958,200,758
sentiment_polarity,anthropic,informative,post,0.0783168862726384,0.0123790322429411,0.8009300791556728,958,200,758
sentiment_subjectivity,anthropic,informative,post,0.09312058563871385,0.01607406311211714,0.8009300791556728,958,200,758
polarization_score,anthropic,informative,post,0.07533655146631549,0.01118726380382898,0.8009300791556728,958,200,758
primary_topic,anthropic,informative,post,0.053681489278624976,0.007581341798584235,0.8009300791556728,958,200,758
toxicity,anthropic,informative,post,0.08044806249532811,0.015161525684781406,0.8009300791556728,958,200,758
user_followers_count,anthropic,informative,post,0.05693683877387937,0.011813796961147677,0.8009300791556728,958,200,758
user_friends_count,anthropic,informative,post,0.06241785311817206,0.011933150400425342,0.8009300791556728,958,200,758
user_statuses_count,anthropic,informative,post,0.06100068276018809,0.009830514299601217,0.8009300791556728,958,200,758
user_favourites_count,anthropic,informative,post,0.06480112466970399,0.01087103727871478,0.8009300791556728,958,200,758
favorite_count,anthropic,informative,post,0.07542551183053903,0.01092441958975701,0.8009300791556728,958,200,758
retweet_count,anthropic,informative,post,0.08089164942705036,0.017197081293309647,0.8009300791556728,958,200,758
retweeted,anthropic,informative,post,0.012485470928346008,0.001866510698921339,0.8009300791556728,958,200,758
author_gender,anthropic,controversial,author,0.020330458737401642,0.003307954570999823,0.80115308804205,961,200,761
author_partisanship,anthropic,controversial,author,0.020459080694953478,0.0032522522395681385,0.80115308804205,961,200,761
author_ideology,anthropic,controversial,author,0.023369789745949106,0.00420449154771476,0.80115308804205,961,200,761
author_race,anthropic,controversial,author,0.029380243074089388,0.006254408938601417,0.80115308804205,961,200,761
author_age,anthropic,controversial,author,0.027093138139709823,0.005326845146483153,0.80115308804205,961,200,761
author_education,anthropic,controversial,author,0.01606272846823278,0.002742326169238989,0.80115308804205,961,200,761
author_income,anthropic,controversial,author,0.02534024849898228,0.004415581878015263,0.80115308804205,961,200,761
author_marital_status,anthropic,controversial,author,0.016935271992672172,0.002831705601857965,0.80115308804205,961,200,761
author_religiosity,anthropic,controversial,author,0.024288773587227606,0.004888518745939858,0.80115308804205,961,200,761
sentiment_polarity,anthropic,controversial,author,0.06745958122721395,0.007666683787159711,0.80115308804205,961,200,761
sentiment_subjectivity,anthropic,controversial,author,0.09631826037700468,0.01965221105894564,0.80115308804205,961,200,761
polarization_score,anthropic,controversial,author,0.08027662477511047,0.01292317137744969,0.80115308804205,961,200,761
primary_topic,anthropic,controversial,author,0.05039311185748361,0.0062402891175651325,0.80115308804205,961,200,761
toxicity,anthropic,controversial,author,0.08343804167193869,0.014692419969916005,0.80115308804205,961,200,761
user_followers_count,anthropic,controversial,author,0.06915686000820223,0.012210019482107313,0.80115308804205,961,200,761
user_friends_count,anthropic,controversial,author,0.063964608317378,0.012103794439116569,0.80115308804205,961,200,761
user_statuses_count,anthropic,controversial,author,0.05415186773073279,0.009393748777646649,0.80115308804205,961,200,761
user_favourites_count,anthropic,controversial,author,0.05741377993938227,0.011109522811311714,0.80115308804205,961,200,761
favorite_count,anthropic,controversial,author,0.0749185208024316,0.013409051930670069,0.80115308804205,961,200,761
retweet_count,anthropic,controversial,author,0.08530941890381806,0.01354212719892041,0.80115308804205,961,200,761
retweeted,anthropic,controversial,author,0.01393959145008551,0.004843890494113662,0.80115308804205,961,200,761
author_gender,anthropic,controversial,author_post,0.017618552786785657,0.0026988487253088445,0.7757050452781371,973,200,773
author_partisanship,anthropic,controversial,author_post,0.019115564524914013,0.0033879243825815563,0.7757050452781371,973,200,773
author_ideology,anthropic,controversial,author_post,0.027995756805424342,0.004395270354349959,0.7757050452781371,973,200,773
author_race,anthropic,controversial,author_post,0.03050433041509388,0.0063675109351857785,0.7757050452781371,973,200,773
author_age,anthropic,controversial,author_post,0.030454067215073127,0.0067708117597979605,0.7757050452781371,973,200,773
author_education,anthropic,controversial,author_post,0.01614734063351836,0.005176503596430292,0.7757050452781371,973,200,773
author_income,anthropic,controversial,author_post,0.028676871484478776,0.005633833458084576,0.7757050452781371,973,200,773
author_marital_status,anthropic,controversial,author_post,0.02007702166984076,0.005048414355740332,0.7757050452781371,973,200,773
author_religiosity,anthropic,controversial,author_post,0.021707832906381636,0.004311583418005606,0.7757050452781371,973,200,773
sentiment_polarity,anthropic,controversial,author_post,0.07646165686603455,0.009657675506788024,0.7757050452781371,973,200,773
sentiment_subjectivity,anthropic,controversial,author_post,0.0675075616647934,0.01098943204250945,0.7757050452781371,973,200,773
polarization_score,anthropic,controversial,author_post,0.08373243302323122,0.01291799856113597,0.7757050452781371,973,200,773
primary_topic,anthropic,controversial,author_post,0.04931062818586126,0.007908822234473681,0.7757050452781371,973,200,773
