feature,provider,prompt_style,context_level,bias,p_value,metric,significant
author_marital_status,openai,engaging,author_post,0.03594971857659726,0.537065149920936,Cramér's V,False
author_religiosity,openai,engaging,author_post,0.05519257016917669,0.40247106819509615,Cramér's V,False
sentiment_polarity,openai,engaging,author_post,0.2165110730320594,0.006544784813915736,Cohen's d,True
sentiment_subjectivity,openai,engaging,author_post,0.06277295441277816,0.4296693134456852,Cohen's d,False
polarization_score,openai,engaging,author_post,0.008859018630798077,0.9112399785660981,Cohen's d,False
primary_topic,openai,engaging,author_post,0.1050086552669589,0.7165344723169775,Cramér's V,False
toxicity,openai,engaging,author_post,0.019459172475276097,0.8065685064810216,Cohen's d,False
user_followers_count,openai,engaging,author_post,0.02916479874068748,0.7136382226662844,Cohen's d,False
user_friends_count,openai,engaging,author_post,0.07178355921796933,0.3664852799174774,Cohen's d,False
user_statuses_count,openai,engaging,author_post,0.023044777438630492,0.7718382764021513,Cohen's d,False
user_favourites_count,openai,engaging,author_post,0.005293026874823681,0.9468975552606158,Cohen's d,False
favorite_count,openai,engaging,author_post,0.09464684678605406,0.2338410869070889,Cohen's d,False
retweet_count,openai,engaging,author_post,0.0894578983877291,0.2604631045351262,Cohen's d,False
retweeted,openai,engaging,author_post,0.013913783720147205,0.8610176943482784,Cohen's d,False
author_gender,openai,engaging,none,0.03813444671607242,0.4975629027718701,Cramér's V,False
author_partisanship,openai,engaging,none,0.05076871443647625,0.29020087149409823,Cramér's V,False
author_ideology,openai,engaging,none,0.06165638792647462,0.4555207953388921,Cramér's V,False
author_race,openai,engaging,none,0.09826507696877908,0.05469876445505549,Cramér's V,False
author_age,openai,engaging,none,0.07308531403340342,0.4004828416265173,Cramér's V,False
author_education,openai,engaging,none,0.07975661152370427,0.047201188848638276,Cramér's V,True
author_income,openai,engaging,none,0.058812786082829076,0.5056772040517619,Cramér's V,False
author_marital_status,openai,engaging,none,0.0694456499027561,0.0987765372754306,Cramér's V,False
author_religiosity,openai,engaging,none,0.1256848035433406,0.0016810942268410919,Cramér's V,True
sentiment_polarity,openai,engaging,none,0.08533056093756043,0.2832188604885173,Cohen's d,False
