category,directional_bias,prop_pool,prop_recommended,feature,provider,prompt_style,context_level,feature_type,mean_pool,mean_recommended,std_pool,std_recommended
family,0.0046332829546011835,0.0029424746211563924,0.007575757575757576,primary_topic,openai,general,none,categorical,,,,
fashion_&_style,-0.006927075670639007,0.01883183757540091,0.011904761904761904,primary_topic,openai,general,none,categorical,,,,
film_tv_&_video,0.0003477470006821165,0.06458731793438281,0.06493506493506493,primary_topic,openai,general,none,categorical,,,,
fitness_&_health,0.003780634058697911,0.013535383257319405,0.017316017316017316,primary_topic,openai,general,none,categorical,,,,
food_&_dining,0.03734602164056335,0.05031631602177431,0.08766233766233766,primary_topic,openai,general,none,categorical,,,,
gaming,-0.004543002483270251,0.026188024128291895,0.021645021645021644,primary_topic,openai,general,none,categorical,,,,
learning_&_educational,-0.00027418513515320864,0.006767691628659703,0.006493506493506494,primary_topic,openai,general,none,categorical,,,,
music,-0.007654892309887161,0.037957922612917465,0.030303030303030304,primary_topic,openai,general,none,categorical,,,,
news_&_social_concern,0.01992523439485333,0.33397086950125054,0.3538961038961039,primary_topic,openai,general,none,categorical,,,,
other_hobbies,-0.010468076379507892,0.01912608503751655,0.008658008658008658,primary_topic,openai,general,none,categorical,,,,
relationships,-0.0008827423863469177,0.0008827423863469177,0.0,primary_topic,openai,general,none,categorical,,,,
science_&_technology,0.03171742435388161,0.027806385169927908,0.05952380952380952,primary_topic,openai,general,none,categorical,,,,
sports,-0.03597955425967784,0.08900985728998087,0.05303030303030303,primary_topic,openai,general,none,categorical,,,,
travel_&_adventure,0.0023740420238875445,0.004119464469618949,0.006493506493506494,primary_topic,openai,general,none,categorical,,,,
mean,-0.016151505493482606,,,toxicity,openai,general,none,numerical,0.06232484232940233,0.046173336835919725,0.1892224265981561,0.15697088705040715
mean,31662.822701414618,,,user_followers_count,openai,general,none,numerical,6463.775783433868,38126.59848484849,195465.78410396213,496227.91311288666
mean,-30.958143298514187,,,user_friends_count,openai,general,none,numerical,1261.6010004413713,1230.642857142857,4503.994567704135,4532.1145440814735
mean,2747.574971801285,,,user_statuses_count,openai,general,none,numerical,12899.698837722524,15647.27380952381,69623.66217773604,101619.37111547365
mean,-2284.9108040088977,,,user_favourites_count,openai,general,none,numerical,11590.574223922318,9305.66341991342,35511.12197642306,33272.14434107664
mean,0.5174274746880307,,,favorite_count,openai,general,none,numerical,1.5280270707665147,2.0454545454545454,29.34256558679348,26.21343536880152
mean,0.015458022924552228,,,retweet_count,openai,general,none,numerical,0.5592173017507724,0.5746753246753247,17.67550277440069,8.45418776664638
mean,0.0,,,retweeted,openai,general,none,binary,0.0,0.0,0.0,0.0
female,-0.019126125839345365,0.542480690595184,0.5233545647558386,author_gender,openai,general,post,categorical,,,,
male,0.019126125839345365,0.457519309404816,0.47664543524416136,author_gender,openai,general,post,categorical,,,,
Democrat,-0.0021327885124595714,0.4373769498712706,0.43524416135881105,author_partisanship,openai,general,post,categorical,,,,
Independent,0.01480701206072127,0.2930486142662426,0.3078556263269639,author_partisanship,openai,general,post,categorical,,,,
Other,-0.007054311348537776,0.053763440860215055,0.04670912951167728,author_partisanship,openai,general,post,categorical,,,,
