context_level,provider,prompt_style,feature,coef,pvalue
none,openai,popular,has_emoji,0.04990178868888519,0.799892845980462
none,openai,popular,has_hashtag,0.04916700752963186,0.5585723367408268
none,openai,popular,has_mention,-0.1742790559018926,0.02692470232213767
none,openai,popular,has_url,0.34225865835662495,4.806613070925042e-05
none,openai,engaging,user_followers_count,0.12756955310272136,0.03236337510500172
none,openai,engaging,user_friends_count,0.08225667726757054,0.10487294873541168
none,openai,engaging,user_statuses_count,-0.054144378618899446,0.30733375494707904
none,openai,engaging,user_favourites_count,-0.27898105447127625,4.564185880689335e-09
none,openai,engaging,favorite_count,-0.18576627092701214,0.0020271580098481998
none,openai,engaging,retweet_count,0.08680357738623305,0.074489470045232
none,openai,engaging,avg_word_length,-0.10734674362262997,0.046526776129319485
none,openai,engaging,text_length,0.21071268329090562,4.6292808509417145e-07
none,openai,engaging,sentiment_polarity,0.03142851600698099,0.45523319475376123
none,openai,engaging,sentiment_subjectivity,0.2821873272007532,3.5702139000107847e-12
none,openai,engaging,polarization_score,0.07350193065287094,0.07251991780823895
none,openai,engaging,toxicity,-0.02346347582187384,0.5823535251668382
none,openai,engaging,has_emoji,0.07579026691846698,0.7002595384829389
none,openai,engaging,has_hashtag,0.16736963199475885,0.045699051086376674
none,openai,engaging,has_mention,-0.35763892251689094,9.263198661314281e-06
none,openai,engaging,has_url,0.08924032959611833,0.2814556058411595
none,openai,informative,user_followers_count,0.4472749844176211,1.3371195148077596e-12
none,openai,informative,user_friends_count,-0.11676576730982798,0.036019427151044295
none,openai,informative,user_statuses_count,-0.1911233684650829,0.000503675444959571
none,openai,informative,user_favourites_count,-0.30215956815348477,2.49084986023288e-09
none,openai,informative,favorite_count,-0.26106461247614765,1.837926640064411e-06
none,openai,informative,retweet_count,0.14930585688468906,0.0006537535781175948
none,openai,informative,avg_word_length,0.08086364904529594,0.10712838019914354
none,openai,informative,text_length,0.3142208646646481,1.6100676724404774e-19
none,openai,informative,sentiment_polarity,-0.1342800627791706,0.001055904692604911
none,openai,informative,sentiment_subjectivity,0.02826665729706046,0.5182870928925551
none,openai,informative,polarization_score,0.6885025750859173,4.860405037913299e-64
none,openai,informative,toxicity,-0.4189273577947597,2.3570632362160896e-12
none,openai,informative,has_emoji,-0.2954458526286606,0.15660010567520136
none,openai,informative,has_hashtag,-0.2619765436229781,0.0054989976635707325
none,openai,informative,has_mention,-0.6861126847437664,9.928498034184962e-16
none,openai,informative,has_url,0.5553257145372136,6.940156566937157e-10
none,openai,controversial,user_followers_count,0.1913187106136465,0.003814506329218228
none,openai,controversial,user_friends_count,-0.011752221595150863,0.8422146415340133
none,openai,controversial,user_statuses_count,-0.14789559214082473,0.011554939925740308
none,openai,controversial,user_favourites_count,-0.16118511686734172,0.002494929461046636
none,openai,controversial,favorite_count,-0.1324025187388906,0.013071612026004533
none,openai,controversial,retweet_count,0.046274809641696016,0.3256326407715032
none,openai,controversial,avg_word_length,-0.18459632112778543,0.001519862378397637
none,openai,controversial,text_length,0.28003973689958067,8.919445341472333e-15
none,openai,controversial,sentiment_polarity,-0.25325177083968575,1.0820630207872481e-10
none,openai,controversial,sentiment_subjectivity,0.08167924737386667,0.061213897885343864
none,openai,controversial,polarization_score,0.9467436929937487,5.995596512555992e-112
none,openai,controversial,toxicity,-0.05452867591827276,0.13092814745763254
none,openai,controversial,has_emoji,-1.0125633084496661,0.002117782754658275
none,openai,controversial,has_hashtag,-0.08585649059019984,0.3823967351039915
none,openai,controversial,has_mention,-0.5274084843574025,1.4451963076721227e-09
none,openai,controversial,has_url,-0.0007994675178110871,0.992423590592382
none,openai,neutral,user_followers_count,0.14840981008282214,0.016558598546024098
none,openai,neutral,user_friends_count,0.103517019652921,0.055745259040208724
none,openai,neutral,user_statuses_count,-0.07195206638823032,0.17146753396288628
none,openai,neutral,user_favourites_count,-0.2919810489871449,1.7030438548503987e-09
none,openai,neutral,favorite_count,-0.11829505412925102,0.021965130871693477
none,openai,neutral,retweet_count,0.03800925043193832,0.38259834192714137
none,openai,neutral,avg_word_length,-0.03731901254731096,0.4085830654252838
none,openai,neutral,text_length,0.28483508286659215,3.6697294222704e-14
none,openai,neutral,sentiment_polarity,-0.10539321723821794,0.006514919587599698
none,openai,neutral,sentiment_subjectivity,0.1725772793827663,1.805570555436456e-05
none,openai,neutral,polarization_score,0.4534438797213526,1.4837335303725678e-32
none,openai,neutral,toxicity,-0.04619202453295304,0.22245249563894698
none,openai,neutral,has_emoji,-0.09301067587651418,0.6558827537494472
none,openai,neutral,has_hashtag,0.05929101349186927,0.5022460257975413
none,openai,neutral,has_mention,-0.4187762082978461,1.731439076597268e-07
none,openai,neutral,has_url,0.017338146394990196,0.8311518229660834
none,google,general,user_followers_count,0.24011560289228645,7.23932289068279e-05
none,google,general,user_friends_count,-0.126892435783593,0.012324614940251154
none,google,general,user_statuses_count,-0.03554593153708767,0.500223425305627
none,google,general,user_favourites_count,0.0189218101622201,0.6964580148612228
none,google,general,favorite_count,-0.02811341604488961,0.5452995998893899
none,google,general,retweet_count,-0.017840339846442003,0.6957554372243153
none,google,general,avg_word_length,-0.16111967242101502,0.006597421504232314
none,google,general,text_length,0.22368273250803603,1.7493286218287616e-10
none,google,general,sentiment_polarity,-0.18289303168813648,5.459699534378137e-06
none,google,general,sentiment_subjectivity,0.14620700892592967,0.0002255496200030404
none,google,general,polarization_score,0.23842022457757037,7.275240812162648e-10
none,google,general,toxicity,-0.23884543154068272,9.280931116779238e-07
none,google,general,has_emoji,-0.05436516866943398,0.8097724167044773
