feature,coef,se,or,ci_lo,ci_hi,pvalue,context_level
has_url,-0.07214089255018266,0.030508648245190326,0.9303998001756872,0.8763954674024422,0.9877319319469433,0.018049325501727293,post
author_gender::female,-0.051092479072883626,0.021813019977552618,0.9501907937054413,0.9104229581933013,0.9916957127643969,0.019165673848206746,post
author_partisanship::Democrat,-0.19848639456536024,0.02709541573144185,0.8199709267253638,0.7775608227283036,0.8646941834282539,2.3807995065437827e-13,post
author_partisanship::Other,-0.08212233504716407,0.047593323154031655,0.9211592617413648,0.8391169010514175,1.0112230899278498,0.08443719213535797,post
author_partisanship::Republican,-0.11132737042200641,0.032919854203280544,0.8946458204038078,0.8387435467123607,0.9542739817233896,0.0007202045690631408,post
author_ideology::center-left,0.22019826611642443,0.03221928437629735,1.2463238098744371,1.1700523234871263,1.3275671590741667,8.237054749556038e-12,post
author_ideology::center-right,-0.1051776042658145,0.03373980967158416,0.9001646353091884,0.8425623351178945,0.961704952723699,0.0018250664495199076,post
author_ideology::left,0.289572903460432,0.032572230106354925,1.3358568263424426,1.25323891541684,1.423921200126598,6.101143007642947e-19,post
author_ideology::right,0.051153440906047704,0.04010491608351315,1.0524843750500414,0.9729211923113432,1.1385540457731087,0.20213567184892556,post
author_age::18-24,-0.1975133001848639,0.09811530743557156,0.8207692241727174,0.6771792278617929,0.9948062368601975,0.04410692457261142,post
author_age::35-44,0.14234640508476593,0.038023122952277666,1.1529759761091982,1.070173820235118,1.2421847519993514,0.00018134457966146033,post
author_age::45-54,0.2112770548282594,0.03891367093132154,1.2352545408917708,1.1445439489483855,1.3331543818790914,5.655058348941062e-08,post
author_age::55-64,0.1678841505590887,0.03798130228424901,1.1827995760406784,1.0979456009317068,1.2742114326017764,9.861922829294678e-06,post
author_age::65+,0.23202202804350597,0.04110520206278148,1.261147509134554,1.1635269100187144,1.3669585345221695,1.655749859203015e-08,post
author_education::high school,-0.13184382512937343,0.03402904739008321,0.876477868208698,0.8199263514896974,0.9369298255433819,0.00010686600716342525,post
author_education::less than high school,-0.4729625891858711,0.10072754742614817,0.623153383416991,0.5115097755997472,0.7591646490210996,2.6600200244519193e-06,post
author_education::postgraduate,0.05223514569081033,0.02964000613655304,1.0536234684047174,0.9941578656874736,1.116646009138118,0.07801541708493227,post
author_education::some college,0.023196482850492358,0.026987148629428442,1.0234676136268785,0.9707383335064927,1.0790610816401753,0.3900437011757324,post
author_income::$100k+,0.152424558828447,0.03155037511600424,1.1646545958731234,1.094815464615416,1.2389488197126155,1.3574745849562132e-06,post
author_income::$60-100k,0.06789805541782985,0.030004210018694397,1.0702561960964347,1.0091312415060127,1.1350836027763442,0.023638713407828072,post
author_income::<$30k,0.1747307139324822,0.031593254570445664,1.1909254737909658,1.119416911462446,1.2670020164974232,3.190762510322235e-08,post
